Year,Gross National Income (GNI)
1960,36152275628.31454
1961,38581177350.02494
1962,41377278295.519714
1963,47632646106.73634
1964,55373276258.14659
1965,58423312338.869606
1966,44705065844.822464
1967,49172351313.6832
1968,52607686767.83397
1969,58260961433.27454
1970,62360060571.615326
1971,67128729760.91941
1972,71691876051.26923
1973,85079141710.51445
1974,98341540916.56902
1975,97488068492.3112
1976,103312924020.30511
1977,121633107262.88109
1978,136915854486.42276
1979,150819172309.89847
1980,180530626854.46487
1981,188401806986.00653
1982,196379698223.30597
1983,213875201711.4899
1984,209081939771.884
1985,226931592773.4992
1986,244454448949.05127
1987,275182920631.7473
1988,292377431086.0146
1989,292697076373.55084
1990,316485320050.1594
1991,270105341879.23
1992,286046867156.0803
1993,279323952590.21875
1994,326293756788.94135
1995,356030625674.74176
1996,388378738223.0672
1997,410710993715.958
1998,414357042978.1613
1999,450056947366.65784
2000,464179382827.00867
2001,481217677712.1539
2002,509891556971.15326
2003,603506160364.3763
2004,696525671241.1371
2005,797492948998.0901
2006,910265598339.6708
2007,1166970961966.4934
2008,1136912680541.0007
2009,1268485405625.6016
2010,1601050453166.335
2011,1703822462495.2065
2012,1704637831215.8674
2013,1801391802176.9731
2014,1978361448398.8533
2015,2055205294095.0566
2016,2254409536052.0513
2017,2567686401269.463
2018,2601299561527.5464
2019,2758498175178.9746
2020,2657283968784.553
