Year,Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Net Exports
1960,4.46,6.83,-2.37
1961,4.3,5.96,-1.6600000000000001
1962,4.17,6.03,-1.8600000000000003
1963,4.28,5.91,-1.63
1964,3.73,5.69,-1.9600000000000004
1965,3.31,5.21,-1.9
1966,4.14,6.67,-2.5300000000000002
1967,4.03,5.95,-1.92
1968,4.04,4.94,-0.9000000000000004
1969,3.71,4.03,-0.3200000000000003
1970,3.78,3.88,-0.10000000000000009
1971,3.67,4.0,-0.33000000000000007
1972,4.03,3.71,0.3200000000000003
1973,4.21,4.72,-0.5099999999999998
1974,4.83,6.02,-1.1899999999999995
1975,5.65,6.65,-1.0
1976,6.69,6.11,0.5800000000000001
1977,6.38,6.26,0.1200000000000001
1978,6.31,6.59,-0.28000000000000025
1979,6.75,8.17,-1.42
1980,6.14,9.25,-3.1100000000000003
1981,5.94,8.57,-2.63
1982,5.98,8.14,-2.16
1983,5.84,7.85,-2.01
1984,6.28,7.73,-1.4500000000000002
1985,5.25,7.65,-2.4000000000000004
1986,5.2,7.02,-1.8199999999999994
1987,5.6,6.98,-1.3800000000000008
1988,6.04,7.46,-1.42
1989,7.02,8.15,-1.1300000000000008
1990,7.05,8.45,-1.3999999999999995
1991,8.49,8.49,0.0
1992,8.84,9.59,-0.75
1993,9.83,9.82,0.009999999999999787
1994,9.89,10.19,-0.29999999999999893
1995,10.84,12.02,-1.1799999999999997
1996,10.39,11.54,-1.1499999999999986
1997,10.69,11.93,-1.2400000000000002
1998,11.02,12.68,-1.6600000000000001
1999,11.45,13.36,-1.9100000000000001
2000,13.0,13.9,-0.9000000000000004
2001,12.56,13.43,-0.8699999999999992
2002,14.26,15.24,-0.9800000000000004
2003,14.95,15.64,-0.6900000000000013
2004,17.86,19.64,-1.7800000000000011
2005,19.61,22.4,-2.789999999999999
2006,21.27,24.46,-3.1900000000000013
2007,20.8,24.89,-4.09
2008,24.1,29.27,-5.169999999999998
2009,20.4,25.87,-5.470000000000002
2010,22.4,26.85,-4.450000000000003
2011,24.54,31.08,-6.539999999999999
2012,24.53,31.26,-6.73
2013,25.43,28.41,-2.9800000000000004
2014,22.97,25.95,-2.9800000000000004
2015,19.81,22.11,-2.3000000000000007
2016,19.16,20.92,-1.7600000000000016
2017,18.79,21.95,-3.16
2018,19.93,23.69,-3.7600000000000016
2019,18.69,21.27,-2.5799999999999983
2020,18.71,19.1,-0.39000000000000057
